id,isapre,categoria,perfil,precio_desde_clp,precio_hasta_clp
1,Vida Tres,Individual,Hombre 30 años,$81.771,$396.276
2,Vida Tres,Individual,Hombre 40 años,$97.578,$506.435
3,Vida Tres,Individual,Hombre 50 años,$102.847,$543.154
4,Vida Tres,Individual,Mujer 30 años,$81.771,$396.276
5,Vida Tres,Individual,Mujer 40 años,$97.578,$506.435
6,Vida Tres,Individual,Mujer 50 años,$102.847,$543.154
8,Vida Tres,Pareja,Pareja 1 (hombre y mujer 30 años),$163.543,$792.552
9,Vida Tres,Pareja,Pareja 2 (hombre y mujer 40 años),$195.156,$1.012.869
10,Vida Tres,Pareja,Pareja 3 (hombre y mujer 50 años),$205.694,$1.086.308
11,Vida Tres,Familia,Familia 1 (hombre y mujer 30 años + 1 hijo 5 años),$224.238,$1.041.951
12,Vida Tres,Familia,Familia 2 (hombre y mujer 40 años + 1 hijo 10 años),$255.852,$1.262.267
13,Vida Tres,Familia,Familia 3 (hombre y mujer 50 años + 1 hijo 20 años),$271.659,$1.372.426
13,Nueva MasVida,Individual,Hombre 30 años,$79.763,$272.700
14,Nueva MasVida,Individual,Hombre 40 años,$93.645,$344.463
15,Nueva MasVida,Individual,Hombre 50 años,$98.272,$368.384
16,Nueva MasVida,Individual,Mujer 30 años,$79.763,$272.700
17,Nueva MasVida,Individual,Mujer 40 años,$93.645,$344.463
18,Nueva MasVida,Individual,Mujer 50 años,$98.272,$368.384
19,Nueva MasVida,Pareja,Pareja 1 (hombre y mujer 30 años),$159.526,$545.399
20,Nueva MasVida,Pareja,Pareja 2 (hombre y mujer 40 años),$187.290,$688.926
21,Nueva MasVida,Pareja,Pareja 3 (hombre y mujer 50 años),$196.545,$736.768
22,Nueva MasVida,Familia,Familia 1 (hombre y mujer 30 años + 1 hijo 5 años),$220.779,$722.415
23,Nueva MasVida,Familia,Familia 2 (hombre y mujer 40 años + 1 hijo 10 años),$248.543,$865.941
24,Nueva MasVida,Familia,Familia 3 (hombre y mujer 50 años + 1 hijo 20 años),$262.425,$937.704
25,Esencial,Individual,Hombre 30 años,$95.985,$269.984
26,Esencial,Individual,Hombre 40 años,$113.630,$339.829
27,Esencial,Individual,Hombre 50 años,$119.512,$363.110
28,Esencial,Individual,Mujer 30 años,$95.985,$269.984
29,Esencial,Individual,Mujer 40 años,$113.630,$339.829
30,Esencial,Individual,Mujer 50 años,$119.512,$363.110
31,Esencial,Pareja,Pareja 1 (hombre y mujer 30 años),$191.971,$539.968
32,Esencial,Pareja,Pareja 2 (hombre y mujer 40 años),$227.260,$679.657
33,Esencial,Pareja,Pareja 3 (hombre y mujer 50 años),$239.024,$726.220
34,Esencial,Familia,Familia 1 (hombre y mujer 30 años + 1 hijo 5 años),$264.429,$716.826
35,Esencial,Familia,Familia 2 (hombre y mujer 40 años + 1 hijo 10 años),$299.719,$856.515
36,Esencial,Familia,Familia 3 (hombre y mujer 50 años + 1 hijo 20 años),$317.364,$926.360
37,Cruz Blanca,Individual,Hombre 30 años,$84.181,$362.743
38,Cruz Blanca,Individual,Hombre 40 años,$97.537,$459.667
39,Cruz Blanca,Individual,Hombre 50 años,$101.989,$491.975
40,Cruz Blanca,Individual,Mujer 30 años,$84.181,$362.743
41,Cruz Blanca,Individual,Mujer 40 años,$97.537,$459.667
42,Cruz Blanca,Individual,Mujer 50 años,$101.989,$491.975
