,,PREFERENTE,,,,LIBRE ELECCION,,,,,,
Isapre        ,Planes reales ,Hospitalaria     ,Consulta      ,Tope/año      ,CAEC,Hospitalaria     ,Consulta      ,Tope/año      ,CAEC,Urgencia ,Historia,Red de prestadores
Colmena,"BLUE, ELITE, SILVER",80%-100%,60%-80%,250-800 UF,60 UF - 120 UF,90%,90%,SIN TOPE,60 UF - 120 UF,"0,4 UF-3,5 UF","Fundada en 1981, Isapre Colmena es una de las aseguradoras privadas de salud pioneras en Chile. A lo largo de su historia, se expandió hasta tener cobertura nacional. En 2023, tras años de fallos judiciales y crisis de la industria, la Corte Suprema aprobó su fusión corporativa con la Isapre Nueva Más Vida.","Clínica INDISA
Red UC CHRISTUS
Clínica Alemana de Santiago
Clínica Las Condes
Clínica Santa María
Clínica Universidad de los Andes"
Banmédica,SOLUCION 2,80%-1000,100%,SIN TOPE,60 UF - 120 UF,,,,60 UF - 120 UF,"0,9 UF - 3.1 UF","Somos una empresa de salud previsional, perteneciente a uno de los principales grupos aseguradores y previsionales del país y uno de los más importantes de Latinoamérica: el Grupo de Empresas Banmédica, conformado por las más modernas Clínicas, Laboratorios especializados, Centros Médicos de última tecnología, Isapres y Unidades de Rescate Médico.
Con más de 35 años de experiencia, 31 sucursales, 8.000 convenios médicos y más de 585 mil beneficiarios en todo Chile, nos hemos consolidado como una de la Isapres líder de la industria, y a su vez, como una de las más estables.

Ofrecemos además una amplia gama de planes de salud, beneficios adicionales y servicios, destinados a generar soluciones a la medida para los diferentes tipos de necesidades de nuestros clientes.

Dirección casa matriz: Apoquindo 3.600, Las Condes, Santiago, Chile. Fono: 56-2-2353 3300, Fax: 56-2-2335 6470.","Clínica Las Condes
Clínica Alemana de Santiago
Clínica Santa María
Red UC CHRISTUS
Clínica INDISA
Clínica Universidad de los Andes
Vida Integra"
Cruz blanca,PROTECCION 2,80%-1000,90%,400 UF,60 UF - 120 UF,,,,60 UF - 120 UF,"0,9 UF - 3.1 UF","Constituida en diciembre de 1985, Isapre Cruz Blanca opera bajo la matriz internacional de origen británico Bupa. Actualmente, es una de las aseguradoras privadas de salud más importantes de Chile, complementando su negocio de seguros con una amplia red de clínicas propias y centros médicos a nivel nacional.","Red UC CHRISTUS
Clínica Alemana de Santiago
Clínica Las Condes
Clínica Santa María
Clínica INDISA
Clínica Universidad de los Andes
Hospital del Trabajador"
Nueva Masvida,PLENO SALUD,90%,100%,260 UF,60 UF - 120 UF,,,,60 UF - 120 UF,"1,2 UF - 3 UF","
Somos una Institución de Salud Previsional (Isapre), parte del sistema de aseguramiento privado de salud. Nuestro propósito es dar a nuestros afiliados el mejor acceso a sus atenciones de salud, para que así disfruten de una vida sana y plena.

Además, formamos parte de Nexus Company, empresa norteamericana con más de 20 años de trayectoria en el ámbito de la salud, lo que nos entrega el respaldo y la experiencia para avanzar en nuestro propósito de convertirnos en la mejor Isapre del país.

Iniciamos nuestro camino siendo Isapre Óptima, enfocados siempre en implementar soluciones innovadoras para nuestros afiliados. A mediados de 2017, tras el traspaso de los contratos de salud desde Isapre Masvida S.A. a Isapre Óptima, pasamos a tomar el nombre de Isapre Nueva Masvida, reuniendo la visión centrada en el cliente de Isapre Óptima con la trayectoria de 30 años de Ex – Isapre Masvida y sus colaboradores.

Hoy, contamos con cobertura a nivel nacional para llegar a más de 275 mil beneficiarios y 33 sucursales.","Clínica INDISA
Clínica Dávila
Clínica Las Condes
Clínica Santa María
IntegraMédica
Clínica Universidad de los Andes
Hospital del Trabajador"
Nueva Masvida,,Hospitalaria,Ambulatoria,dental / lactancia / fertilidad,60 UF - 120 UF,,,,60 UF - 120 UF,,,
Consalud,LIFE FULL 317,100% a 90%,80%,N/A,60 UF - 120 UF,90%,80%,100%,60 UF - 120 UF,"0,67 UF - 2,97 UF","Fundada en 1983 por la Cámara Chilena de la Construcción (CChC), Consalud nació para proveer cobertura de salud a los trabajadores de ese sector. Actualmente es una de las aseguradoras privadas más grandes de Chile, administrada por ILC (Inversiones La Construcción). Durante sus más de cuatro décadas, ha liderado la industria con hitos como la cobertura de cesantía (1989), la emisión de bonos electrónicos (2000) y su programa de acompañamiento oncológico iniciado en 2013.","Clínica Las Condes
Clínica Alemana de Santiago
Red UC CHRISTUS
Clínica Santa María
Clínica INDISA
Hospital del Trabajador
Clínica Universidad de los Andes"
,LIFE FULL 157,100% - 50%,80% - 50%,N/A,60 UF - 120 UF,80%,90%,100%,60 UF - 120 UF,"0,67 UF - 28,07 UF",,
Vida Tres,,N/A,N/A,N/A,60 UF - 120 UF,90%-60%,60%-50%,,60 UF - 120 UF,"1,7UF - 7,1 UF","Con más de tres décadas de trayectoria, la institución opera bajo la razón social Vida Tres S.A. y tiene su casa matriz ubicada en Avenida Apoquindo 3600, Las Condes. A lo largo de los años, se integró al Grupo de Empresas Banmédica, lo que le otorgó el respaldo de uno de los grupos aseguradores más importantes de Chile y el acceso a una de las redes privadas de salud más grandes del país. Actualmente, el conglomerado es controlado por la multinacional UnitedHealth Group",
